Call ID,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,Talk Duration,Satisfaction rating
ID0089,Jatin,01-02-2025,12:59:02,Technical Support,Y,Y,119,212,4
ID0090,Dhruv,01-02-2025,12:59:02,Streaming,N,N,,0,
ID0091,Jignesh,01-02-2025,13:03:22,Contract related,Y,Y,46,341,1
ID0092,Sonal,01-02-2025,13:03:22,Technical Support,Y,Y,101,88,3
ID0093,Jignesh,01-02-2025,13:04:48,Technical Support,Y,Y,56,172,3
ID0094,Bhaskar,01-02-2025,13:04:48,Technical Support,Y,Y,80,53,3
ID0095,Darshan,01-02-2025,13:13:26,Streaming,Y,Y,24,96,3
ID0096,Sonal,01-02-2025,13:13:26,Payment related,Y,Y,113,234,2
ID0097,Gopal,01-02-2025,13:20:38,Contract related,Y,Y,19,123,4
ID0098,Madhuri,01-02-2025,13:20:38,Streaming,N,N,,0,
ID0099,Dhruv,01-02-2025,13:20:38,Contract related,Y,Y,45,397,3
ID0100,Darshan,01-02-2025,13:20:38,Technical Support,Y,Y,95,311,1
ID0101,Bhaskar,01-02-2025,13:45:07,Technical Support,N,N,,0,
ID0102,Madhuri,01-02-2025,13:45:07,Technical Support,Y,N,79,331,1
ID0103,Darshan,01-02-2025,13:49:26,Payment related,Y,Y,22,236,2
ID0104,Madhuri,01-02-2025,13:49:26,Contract related,Y,Y,38,396,1
ID0105,Bhaskar,01-02-2025,13:53:46,Technical Support,Y,Y,112,205,5
ID0106,Bhaskar,01-02-2025,13:53:46,Payment related,Y,Y,65,297,3
ID0107,Jatin,01-02-2025,14:22:34,Streaming,N,N,,0,
ID0108,Bhaskar,01-02-2025,14:22:34,Contract related,Y,N,55,152,1
ID0109,Sonal,01-02-2025,14:52:48,Admin Support,N,N,,0,
ID0110,Jatin,01-02-2025,14:52:48,Streaming,Y,Y,19,158,2
ID0111,Bhaskar,01-02-2025,15:10:05,Technical Support,Y,Y,53,56,3
ID0112,Darshan,01-02-2025,15:10:05,Technical Support,Y,Y,24,366,5
ID0113,Madhuri,01-02-2025,15:36:00,Streaming,Y,Y,73,361,3
ID0114,Sonal,01-02-2025,15:36:00,Technical Support,N,N,,0,
ID0115,Jignesh,01-02-2025,17:36:58,Technical Support,Y,Y,55,347,5
ID0116,Gopal,01-02-2025,17:36:58,Payment related,N,N,,0,
ID0117,Darshan,01-02-2025,17:47:02,Streaming,N,N,,0,
ID0118,Madhuri,01-02-2025,17:47:02,Streaming,Y,Y,23,318,4
ID0119,Dhruv,01-03-2025,09:10:05,Payment related,Y,N,124,143,5
ID0120,Dhruv,01-03-2025,09:10:05,Contract related,N,N,,0,
ID0121,Dhruv,01-03-2025,09:47:31,Technical Support,Y,Y,103,61,4
ID0122,Madhuri,01-03-2025,09:47:31,Contract related,Y,Y,69,225,4
ID0123,Jatin,01-03-2025,10:29:17,Streaming,Y,Y,78,72,3
ID0124,Madhuri,01-03-2025,10:29:17,Technical Support,Y,Y,78,206,5
ID0125,Madhuri,01-03-2025,10:37:55,Technical Support,N,N,,0,
ID0126,Darshan,01-03-2025,10:37:55,Payment related,Y,Y,44,338,4
ID0127,Madhuri,01-03-2025,10:52:19,Admin Support,Y,Y,35,166,4
ID0128,Bhaskar,01-03-2025,10:52:19,Admin Support,Y,Y,102,326,4
ID0129,Jignesh,01-03-2025,10:52:19,Contract related,Y,Y,99,351,3
ID0130,Jignesh,01-03-2025,10:52:19,Admin Support,Y,Y,29,249,3
ID0131,Bhaskar,01-03-2025,10:58:05,Admin Support,Y,N,42,59,5
ID0132,Darshan,01-03-2025,10:58:05,Payment related,Y,Y,113,340,4
ID0133,Dhruv,01-03-2025,11:02:24,Admin Support,Y,Y,124,53,2
ID0134,Jignesh,01-03-2025,11:02:24,Technical Support,N,N,,0,
ID0135,Dhruv,01-03-2025,11:03:50,Payment related,Y,Y,55,133,1
ID0136,Gopal,01-03-2025,11:03:50,Technical Support,Y,N,105,359,3
ID0137,Sonal,01-03-2025,11:06:43,Contract related,Y,N,112,192,5
ID0138,Madhuri,01-03-2025,11:06:43,Contract related,N,N,,0,
ID0139,Bhaskar,01-03-2025,11:16:48,Technical Support,Y,Y,43,380,5
ID0140,Jatin,01-03-2025,11:16:48,Payment related,Y,Y,20,104,3
ID0141,Gopal,01-03-2025,11:26:53,Technical Support,Y,Y,84,103,5
ID0142,Jignesh,01-03-2025,11:26:53,Contract related,Y,Y,20,164,4
ID0143,Gopal,01-03-2025,11:38:24,Streaming,Y,Y,101,136,3
ID0144,Darshan,01-03-2025,11:38:24,Technical Support,Y,Y,31,175,5
ID0145,Jignesh,01-03-2025,11:52:48,Contract related,Y,Y,56,249,5
ID0146,Jatin,01-03-2025,11:52:48,Contract related,N,N,,0,
ID0147,Jatin,01-03-2025,11:55:41,Payment related,Y,Y,77,87,5
ID0148,Jignesh,01-03-2025,11:55:41,Payment related,Y,Y,46,50,4
ID0149,Sonal,01-03-2025,11:58:34,Admin Support,Y,Y,88,266,3
ID0150,Darshan,01-03-2025,11:58:34,Payment related,Y,Y,88,58,1
ID0151,Jatin,01-03-2025,12:33:07,Technical Support,Y,Y,124,363,1
ID0152,Sonal,01-03-2025,12:33:07,Contract related,N,N,,0,
ID0153,Madhuri,01-03-2025,12:54:43,Payment related,Y,N,52,419,4
ID0154,Jatin,01-03-2025,12:54:43,Admin Support,Y,Y,67,370,5
ID0155,Madhuri,01-03-2025,13:12:00,Payment related,Y,Y,119,256,3
ID0156,Dhruv,01-03-2025,13:12:00,Admin Support,Y,Y,98,277,2
ID0157,Jignesh,01-03-2025,13:14:53,Technical Support,N,N,,0,
ID0158,Jatin,01-03-2025,13:14:53,Technical Support,Y,Y,118,258,3
ID0159,Bhaskar,01-03-2025,13:27:50,Admin Support,Y,Y,123,75,3
ID0160,Bhaskar,01-03-2025,13:27:50,Streaming,Y,N,86,337,1
ID0161,Gopal,01-03-2025,13:35:02,Admin Support,Y,Y,104,129,3
ID0162,Gopal,01-03-2025,13:35:02,Payment related,Y,Y,69,93,2
ID0163,Dhruv,01-03-2025,13:58:05,Contract related,Y,Y,113,158,1
ID0164,Jatin,01-03-2025,13:58:05,Streaming,Y,Y,88,203,5
ID0165,Jatin,01-03-2025,13:58:05,Streaming,N,N,,0,
ID0166,Sonal,01-03-2025,13:58:05,Payment related,N,N,,0,
ID0167,Jatin,01-03-2025,14:03:50,Payment related,Y,Y,84,58,2
ID0168,Darshan,01-03-2025,14:03:50,Streaming,Y,Y,113,82,3
ID0169,Jatin,01-03-2025,14:47:02,Streaming,Y,Y,38,331,4
ID0170,Dhruv,01-03-2025,14:47:02,Streaming,Y,Y,14,374,4
ID0171,Madhuri,01-03-2025,15:34:34,Streaming,Y,N,25,332,4
ID0172,Dhruv,01-03-2025,15:34:34,Contract related,N,N,,0,
ID0173,Darshan,01-03-2025,16:29:17,Technical Support,N,N,,0,
ID0174,Jatin,01-03-2025,16:29:17,Payment related,Y,Y,117,127,4
ID0175,Sonal,01-03-2025,17:31:12,Payment related,Y,N,57,361,2
ID0176,Madhuri,01-03-2025,17:31:12,Technical Support,Y,Y,119,319,5
ID0177,Madhuri,01-04-2025,09:01:26,Contract related,N,N,,0,
ID0178,Darshan,01-04-2025,09:01:26,Streaming,Y,Y,93,392,5
ID0179,Madhuri,01-04-2025,09:31:41,Payment related,Y,Y,86,64,4
ID0180,Jatin,01-04-2025,09:31:41,Streaming,N,N,,0,
ID0181,Dhruv,01-04-2025,09:43:12,Contract related,Y,Y,92,179,3
ID0182,Gopal,01-04-2025,09:43:12,Streaming,N,N,,0,
ID0183,Madhuri,01-04-2025,10:03:22,Technical Support,Y,Y,106,342,3
ID0184,Sonal,01-04-2025,10:03:22,Technical Support,Y,Y,67,164,3
ID0185,Jignesh,01-04-2025,10:27:50,Streaming,Y,Y,90,257,3
ID0186,Darshan,01-04-2025,10:27:50,Technical Support,N,N,,0,
ID0187,Bhaskar,01-04-2025,11:09:36,Streaming,Y,N,50,229,4
ID0188,Darshan,01-04-2025,11:09:36,Admin Support,Y,N,89,256,3
ID0189,Jignesh,01-04-2025,11:13:55,Admin Support,Y,Y,74,378,3
ID0190,Madhuri,01-04-2025,11:13:55,Payment related,Y,Y,63,142,2
ID0191,Bhaskar,01-04-2025,11:18:14,Contract related,Y,Y,45,391,5
ID0192,Madhuri,01-04-2025,11:18:14,Technical Support,N,N,,0,
ID0193,Dhruv,01-04-2025,11:22:34,Payment related,Y,Y,31,403,2
ID0194,Jatin,01-04-2025,11:22:34,Streaming,N,N,,0,
ID0195,Jatin,01-04-2025,11:32:38,Contract related,Y,Y,43,224,5
ID0196,Madhuri,01-04-2025,11:32:38,Streaming,Y,Y,50,342,4
ID0197,Dhruv,01-04-2025,12:02:53,Technical Support,Y,Y,48,312,4
ID0198,Madhuri,01-04-2025,12:02:53,Admin Support,Y,Y,113,164,5
ID0199,Jignesh,01-04-2025,12:15:50,Streaming,N,N,,0,
ID0200,Jatin,01-04-2025,12:15:50,Technical Support,Y,Y,103,400,5
ID0201,Bhaskar,01-04-2025,12:15:50,Technical Support,Y,N,95,267,3
ID0202,Jatin,01-04-2025,12:15:50,Admin Support,Y,Y,30,304,1
ID0203,Gopal,01-04-2025,13:32:10,Admin Support,Y,Y,124,199,3
ID0204,Darshan,01-04-2025,13:32:10,Admin Support,Y,Y,17,123,5
ID0205,Sonal,01-04-2025,13:45:07,Streaming,Y,Y,113,360,3
ID0206,Jignesh,01-04-2025,13:45:07,Technical Support,Y,Y,25,147,5
ID0207,Jignesh,01-04-2025,13:56:38,Admin Support,Y,Y,52,262,5
ID0208,Dhruv,01-04-2025,13:56:38,Admin Support,Y,Y,28,164,5
ID0209,Gopal,01-04-2025,14:25:26,Technical Support,Y,Y,69,185,3
ID0210,Madhuri,01-04-2025,14:25:26,Streaming,Y,Y,106,232,3
ID0211,Jignesh,01-04-2025,14:28:19,Technical Support,N,N,,0,
ID0212,Jatin,01-04-2025,14:28:19,Payment related,Y,Y,26,299,3
ID0213,Jatin,01-04-2025,14:31:12,Payment related,Y,Y,53,355,4
ID0214,Madhuri,01-04-2025,14:31:12,Technical Support,Y,Y,77,250,2
ID0215,Jignesh,01-04-2025,14:49:55,Contract related,Y,Y,45,182,3
ID0216,Bhaskar,01-04-2025,14:49:55,Technical Support,N,N,,0,
ID0217,Gopal,01-04-2025,15:23:02,Streaming,Y,Y,56,256,4
ID0218,Sonal,01-04-2025,15:23:02,Admin Support,Y,Y,13,236,2
ID0219,Sonal,01-04-2025,15:48:58,Admin Support,Y,Y,120,410,5
ID0220,Darshan,01-04-2025,15:48:58,Payment related,Y,Y,22,50,1
ID0221,Madhuri,01-04-2025,16:48:00,Payment related,Y,Y,81,201,4
ID0222,Jignesh,01-04-2025,16:48:00,Streaming,N,N,,0,
ID0223,Madhuri,01-04-2025,16:49:26,Contract related,Y,Y,71,48,2
ID0224,Sonal,01-04-2025,16:49:26,Payment related,Y,Y,75,93,4
ID0225,Madhuri,01-04-2025,16:49:26,Technical Support,Y,Y,77,162,4
ID0226,Jatin,01-04-2025,16:49:26,Streaming,Y,Y,88,387,4
ID0227,Sonal,01-04-2025,17:35:31,Admin Support,Y,Y,82,185,2
ID0228,Jignesh,01-04-2025,17:35:31,Technical Support,Y,Y,110,390,3
ID0229,Madhuri,01-04-2025,17:39:50,Admin Support,Y,N,70,92,3
ID0230,Bhaskar,01-04-2025,17:39:50,Admin Support,Y,Y,117,220,3
ID0231,Jatin,01-05-2025,09:08:38,Streaming,Y,Y,18,50,3
ID0232,Jatin,01-05-2025,09:08:38,Streaming,Y,Y,113,156,4
ID0233,Sonal,01-05-2025,09:25:55,Contract related,Y,N,68,209,5
ID0234,Gopal,01-05-2025,09:25:55,Payment related,Y,Y,67,254,5
ID0235,Jatin,01-05-2025,09:33:07,Technical Support,Y,Y,36,67,5
ID0236,Sonal,01-05-2025,09:33:07,Streaming,N,N,,0,
ID0237,Bhaskar,01-05-2025,10:00:29,Technical Support,Y,Y,33,150,1
ID0238,Dhruv,01-05-2025,10:00:29,Contract related,Y,Y,113,119,5
ID0239,Gopal,01-05-2025,10:49:26,Contract related,Y,Y,106,379,3
ID0240,Jatin,01-05-2025,10:49:26,Streaming,Y,Y,23,299,3
ID0241,Jatin,01-05-2025,11:31:12,Streaming,N,N,,0,
ID0242,Gopal,01-05-2025,11:31:12,Payment related,Y,Y,11,282,1
ID0243,Gopal,01-05-2025,11:41:17,Contract related,Y,Y,73,285,5
ID0244,Dhruv,01-05-2025,11:41:17,Admin Support,Y,Y,109,289,5
ID0245,Madhuri,01-05-2025,11:49:55,Payment related,Y,Y,29,254,4
ID0246,Dhruv,01-05-2025,11:49:55,Streaming,N,N,,0,
ID0247,Bhaskar,01-05-2025,11:49:55,Admin Support,Y,Y,81,74,4
ID0248,Gopal,01-05-2025,11:49:55,Contract related,Y,Y,59,232,1
ID0249,Bhaskar,01-05-2025,12:00:00,Streaming,Y,Y,32,389,4
ID0250,Madhuri,01-05-2025,12:00:00,Admin Support,Y,Y,116,42,4
ID0251,Darshan,01-05-2025,12:12:58,Payment related,Y,Y,92,115,5
ID0252,Gopal,01-05-2025,12:12:58,Streaming,Y,Y,62,362,5
ID0253,Jatin,01-05-2025,13:04:48,Payment related,Y,Y,83,113,5
ID0254,Jatin,01-05-2025,13:04:48,Admin Support,Y,Y,71,151,3
ID0255,Gopal,01-05-2025,13:59:31,Admin Support,Y,N,74,272,3
ID0256,Jatin,01-05-2025,13:59:31,Technical Support,Y,Y,96,346,4
ID0257,Darshan,01-05-2025,14:42:43,Admin Support,Y,Y,110,101,1
ID0258,Jignesh,01-05-2025,14:42:43,Streaming,Y,N,110,158,3
ID0259,Dhruv,01-05-2025,15:18:43,Technical Support,Y,Y,117,183,4
ID0260,Bhaskar,01-05-2025,15:18:43,Admin Support,Y,Y,44,353,3
ID0261,Darshan,01-05-2025,15:20:10,Contract related,Y,Y,47,362,4
ID0262,Gopal,01-05-2025,15:20:10,Admin Support,Y,Y,97,76,3
ID0263,Gopal,01-05-2025,15:31:41,Streaming,Y,Y,67,159,4
ID0264,Darshan,01-05-2025,15:31:41,Streaming,Y,Y,72,408,3
ID0265,Bhaskar,01-05-2025,15:31:41,Contract related,Y,Y,68,261,3
ID0266,Jatin,01-05-2025,15:31:41,Payment related,Y,Y,98,382,5
ID0267,Jatin,01-05-2025,15:37:26,Streaming,Y,Y,120,56,3
ID0268,Dhruv,01-05-2025,15:37:26,Payment related,Y,Y,13,153,1
ID0269,Jignesh,01-05-2025,15:44:38,Admin Support,Y,Y,95,107,5
ID0270,Madhuri,01-05-2025,15:44:38,Payment related,Y,Y,31,42,5
ID0271,Dhruv,01-05-2025,16:06:14,Streaming,Y,Y,113,382,3
ID0272,Madhuri,01-05-2025,16:06:14,Technical Support,Y,Y,116,280,3
ID0273,Madhuri,01-05-2025,16:16:19,Admin Support,Y,N,94,329,5
ID0274,Madhuri,01-05-2025,16:16:19,Admin Support,Y,N,51,282,4
ID0275,Darshan,01-05-2025,16:27:50,Technical Support,Y,Y,60,247,4
ID0276,Darshan,01-05-2025,16:27:50,Contract related,Y,Y,59,364,2
ID0277,Sonal,01-05-2025,17:25:26,Technical Support,N,N,,0,
ID0278,Gopal,01-05-2025,17:25:26,Payment related,N,N,,0,
ID0279,Jatin,01-05-2025,17:29:46,Technical Support,N,N,,0,
ID0280,Dhruv,01-05-2025,17:29:46,Contract related,Y,Y,16,213,4
ID0281,Darshan,01-05-2025,17:38:24,Technical Support,Y,Y,81,111,3
ID0282,Jatin,01-05-2025,17:38:24,Streaming,Y,Y,65,406,1
ID0283,Madhuri,01-05-2025,17:44:10,Streaming,Y,Y,55,184,2
ID0284,Madhuri,01-05-2025,17:44:10,Technical Support,N,N,,0,
ID0285,Madhuri,01-05-2025,17:57:07,Technical Support,Y,Y,31,145,4
ID0286,Darshan,01-05-2025,17:57:07,Streaming,Y,Y,45,313,2
ID0287,Gopal,01-06-2025,09:08:38,Technical Support,N,N,,0,
ID0288,Sonal,01-06-2025,09:08:38,Payment related,Y,Y,43,129,5
ID0289,Sonal,01-06-2025,10:06:14,Technical Support,Y,Y,55,356,4
ID0290,Sonal,01-06-2025,10:06:14,Contract related,Y,Y,63,139,3
ID0291,Jatin,01-06-2025,10:07:41,Payment related,N,N,,0,
ID0292,Jignesh,01-06-2025,10:07:41,Contract related,Y,Y,122,352,1
ID0293,Sonal,01-06-2025,10:32:10,Contract related,Y,Y,71,159,4
ID0294,Jignesh,01-06-2025,10:32:10,Technical Support,Y,Y,54,297,4
ID0295,Sonal,01-06-2025,10:42:14,Streaming,Y,Y,74,202,4
ID0296,Sonal,01-06-2025,10:42:14,Admin Support,Y,Y,125,287,4
ID0297,Dhruv,01-06-2025,11:12:29,Payment related,Y,Y,110,223,3
ID0298,Bhaskar,01-06-2025,11:12:29,Streaming,N,N,,0,
ID0299,Madhuri,01-06-2025,11:29:46,Technical Support,Y,Y,74,91,5
ID0300,Darshan,01-06-2025,11:29:46,Payment related,Y,Y,80,267,4
ID0301,Dhruv,01-06-2025,11:38:24,Payment related,N,N,,0,
ID0302,Jatin,01-06-2025,11:38:24,Contract related,Y,Y,110,234,2
ID0303,Sonal,01-06-2025,11:45:36,Payment related,Y,Y,26,188,3
ID0304,Gopal,01-06-2025,11:45:36,Technical Support,N,N,,0,
ID0305,Jatin,01-06-2025,12:05:46,Admin Support,Y,Y,97,107,3
ID0306,Dhruv,01-06-2025,12:05:46,Admin Support,Y,N,82,340,3
ID0307,Bhaskar,01-06-2025,12:07:12,Streaming,Y,N,102,353,5
ID0308,Jignesh,01-06-2025,12:07:12,Admin Support,Y,Y,120,52,5
ID0309,Gopal,01-06-2025,13:30:43,Streaming,Y,Y,70,319,3
ID0310,Darshan,01-06-2025,13:30:43,Admin Support,N,N,,0,
ID0311,Sonal,01-06-2025,13:58:05,Payment related,Y,Y,122,176,3
ID0312,Madhuri,01-06-2025,13:58:05,Streaming,N,N,,0,
ID0313,Jatin,01-06-2025,14:03:50,Payment related,Y,Y,19,55,1
ID0314,Gopal,01-06-2025,14:03:50,Payment related,Y,Y,71,157,4
ID0315,Jatin,01-06-2025,14:13:55,Technical Support,Y,Y,24,299,1
ID0316,Madhuri,01-06-2025,14:13:55,Technical Support,Y,Y,67,336,1
ID0317,Madhuri,01-06-2025,14:32:38,Streaming,Y,N,57,254,3
ID0318,Darshan,01-06-2025,14:32:38,Streaming,Y,Y,108,303,4
ID0319,Sonal,01-06-2025,14:57:07,Payment related,Y,Y,99,248,4
ID0320,Sonal,01-06-2025,14:57:07,Payment related,Y,Y,56,292,1
ID0321,Sonal,01-06-2025,15:02:53,Payment related,Y,Y,121,237,3
ID0322,Gopal,01-06-2025,15:02:53,Admin Support,N,N,,0,
ID0323,Jatin,01-06-2025,15:12:58,Contract related,Y,Y,72,360,1
ID0324,Gopal,01-06-2025,15:12:58,Contract related,Y,Y,54,375,4
ID0325,Madhuri,01-06-2025,16:17:46,Admin Support,Y,Y,30,276,3
ID0326,Jignesh,01-06-2025,16:17:46,Payment related,Y,Y,44,64,2
ID0327,Gopal,01-06-2025,16:22:05,Payment related,Y,N,97,118,4
ID0328,Jignesh,01-06-2025,16:22:05,Streaming,Y,Y,47,109,3
ID0329,Dhruv,01-06-2025,16:27:50,Streaming,Y,Y,53,103,3
ID0330,Dhruv,01-06-2025,16:27:50,Contract related,N,N,,0,
ID0331,Madhuri,01-06-2025,16:35:02,Payment related,N,N,,0,
ID0332,Jignesh,01-06-2025,16:35:02,Streaming,N,N,,0,
ID0333,Sonal,01-06-2025,16:39:22,Admin Support,Y,Y,81,225,3
ID0334,Darshan,01-06-2025,16:39:22,Contract related,Y,Y,11,34,4
ID0335,Madhuri,01-06-2025,17:00:58,Payment related,Y,Y,48,53,5
ID0336,Sonal,01-06-2025,17:00:58,Contract related,Y,Y,37,414,5
ID0337,Madhuri,01-06-2025,17:19:41,Technical Support,Y,Y,115,154,4
ID0338,Gopal,01-06-2025,17:19:41,Payment related,Y,Y,81,53,4
ID0339,Bhaskar,01-06-2025,17:21:07,Contract related,N,N,,0,
ID0340,Jignesh,01-06-2025,17:21:07,Admin Support,Y,Y,12,192,5
ID0341,Sonal,01-06-2025,17:22:34,Admin Support,Y,Y,75,171,3
ID0342,Jignesh,01-06-2025,17:22:34,Contract related,Y,Y,42,77,4
ID0343,Gopal,01-06-2025,17:24:00,Admin Support,Y,Y,96,105,5
ID0344,Sonal,01-06-2025,17:24:00,Payment related,Y,Y,58,111,5
ID0345,Dhruv,01-07-2025,09:04:19,Contract related,Y,Y,62,316,5
